Placement,Model
P2|Mazda|UK|Programmatic|Affectv|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x600|Learn More|Standard Edition|45299897|DCM,MX-5
P2|Mazda|UK|Programmatic|Affectv|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x600|Test Drive|Standard Edition|45299897|DCM,MX-5
P2|Mazda|UK|Programmatic|Affectv|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|728x90|Financial|Standard Edition|45300529|DCM,MX-5
P2|Mazda|UK|Programmatic|Affectv|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|728x90|Learn More|Standard Edition|45300529|DCM,MX-5
P2|Mazda|UK|Programmatic|Affectv|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|728x90|Test Drive|Standard Edition|45300529|DCM,MX-5
P2|Mazda|UK|Programmatic|Affectv|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|970x250|Financial|Standard Edition|45300531|DCM,MX-5
P2|Mazda|UK|Programmatic|Affectv|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|970x250|Learn More|Standard Edition|45300531|DCM,MX-5
P2|Mazda|UK|Programmatic|Affectv|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|970x250|Test Drive|Standard Edition|45300531|DCM,MX-5
P2|Mazda|UK|Programmatic|Affectv|All|Mazda2|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|160x600|Financial|Standard Edition|45298018|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Affectv|All|Mazda2|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|160x600|Learn More|Standard Edition|45298018|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Affectv|All|Mazda2|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|160x600|Test Drive|Standard Edition|45298018|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Affectv|All|Mazda2|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x250|Financial|Standard Edition|45298045|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Affectv|All|Mazda2|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x250|Learn More|Standard Edition|45298045|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Affectv|All|Mazda2|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x250|Test Drive|Standard Edition|45298045|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Affectv|All|Mazda2|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x600|Financial|Standard Edition|45297698|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Affectv|All|Mazda2|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x600|Learn More|Standard Edition|45297698|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Affectv|All|Mazda2|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x600|Test Drive|Standard Edition|45297698|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Affectv|All|Mazda2|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|728x90|Financial|Standard Edition|45298091|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Affectv|All|Mazda2|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|728x90|Learn More|Standard Edition|45298091|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Affectv|All|Mazda2|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|728x90|Test Drive|Standard Edition|45298091|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Affectv|All|Mazda2|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|970x250|Financial|Standard Edition|45298098|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Affectv|All|Mazda2|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|970x250|Learn More|Standard Edition|45298098|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Affectv|All|Mazda2|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|970x250|Test Drive|Standard Edition|45298098|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Affectv|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|160x600|Financial|Standard Edition|45301045|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Affectv|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|160x600|Learn More|Standard Edition|45301045|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Affectv|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|160x600|Test Drive|Standard Edition|45301045|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Affectv|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x250|Financial|Standard Edition|45301049|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Affectv|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x250|Learn More|Standard Edition|45301049|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Affectv|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x250|Test Drive|Standard Edition|45301049|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Affectv|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x600|Financial|Standard Edition|45301055|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Affectv|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x600|Learn More|Standard Edition|45301055|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Affectv|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x600|Test Drive|Standard Edition|45301055|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Affectv|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|728x90|Financial|Standard Edition|45301065|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Affectv|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|728x90|Learn More|Standard Edition|45301065|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Affectv|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|728x90|Test Drive|Standard Edition|45301065|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Affectv|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|970x250|Financial|Standard Edition|45300574|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Affectv|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|970x250|Learn More|Standard Edition|45300574|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Affectv|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|970x250|Test Drive|Standard Edition|45300574|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|160x600|Financial|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|160x600|Learn More|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|160x600|Test Drive|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x250|Financial|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x250|Learn More|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x250|Test Drive|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x600|Learn More|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|728x90|Financial|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|728x90|Learn More|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|728x90|Test Drive|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|970x250|Learn More|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|160x600|Financial|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|160x600|Learn More|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|160x600|Test Drive|Sport|45301078|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x250|Financial|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x250|Learn More|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x250|Test Drive|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x600|Learn More|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|728x90|Financial|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|728x90|Learn More|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|728x90|Test Drive|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|970x250|Learn More|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Affectv|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Display|Regit Cars|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x250|Learn More|Standard Edition|45283388|DCM,MX-5
P2|Mazda|UK|Display|Regit Cars|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x250|Test Drive|Standard Edition|45283388|DCM,MX-5
P2|Mazda|UK|Display|Regit Cars|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x600|Learn More|Standard Edition|45299897|DCM,MX-5
P2|Mazda|UK|Display|Regit Cars|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|970x250|Learn More|Standard Edition|45300531|DCM,MX-5
P2|Mazda|UK|Display|Regit Cars|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|970x250|Test Drive|Standard Edition|45300531|DCM,MX-5
P2|Mazda|UK|Display|Regit Cars|All|Mazda2|None|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x250|Financial|Standard Edition|45298045|DCM,Mazda 2
P2|Mazda|UK|Display|Regit Cars|All|Mazda2|None|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x250|Test Drive|Standard Edition|45298045|DCM,Mazda 2
P2|Mazda|UK|Display|Regit Cars|All|Mazda2|None|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|970x250|Learn More|Standard Edition|45298098|DCM,Mazda 2
P2|Mazda|UK|Display|Regit Cars|All|Mazda2|None|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|970x250|Test Drive|Standard Edition|45298098|DCM,Mazda 2
P2|Mazda|UK|Display|Regit Cars|All|Mazda3|None|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x250|Financial|Standard Edition|45302400|DCM,Mazda 3
P2|Mazda|UK|Display|Regit Cars|All|Mazda3|None|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x250|Test Drive|Standard Edition|45302400|DCM,Mazda 3
P2|Mazda|UK|Display|Regit Cars|All|Mazda3|None|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|970x250|Financial|Standard Edition|45298536|DCM,Mazda 3
P2|Mazda|UK|Display|Regit Cars|All|Mazda3|None|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|970x250|Test Drive|Standard Edition|45298536|DCM,Mazda 3
P2|Mazda|UK|Display|Regit Cars|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x250|Financial|Standard Edition|45301049|DCM,Mazda 6
P2|Mazda|UK|Display|Regit Cars|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x250|Test Drive|Standard Edition|45301049|DCM,Mazda 6
P2|Mazda|UK|Display|Regit Cars|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x600|Financial|Standard Edition|45301055|DCM,Mazda 6
P2|Mazda|UK|Display|Regit Cars|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x600|Test Drive|Standard Edition|45301055|DCM,Mazda 6
P2|Mazda|UK|Display|Regit Cars|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|970x250|Learn More|Standard Edition|45300574|DCM,Mazda 6
P2|Mazda|UK|Display|Regit Cars|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x250|Financial|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Display|Regit Cars|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x250|Test Drive|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Display|Regit Cars|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Display|Regit Cars|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Display|Regit Cars|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Display|Regit Cars|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x250|Learn More|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Display|Regit Cars|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x250|Test Drive|Sport|45301082|DCM,CX-3 & CX-5
P2|Mazda|UK|Display|Regit Cars|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Display|Regit Cars|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|300x600|Learn More|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Display|Regit Cars|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Display|Regit Cars|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|S4M|All|MX-5|None|Consumer|Inmarket|Prospecting|GEO|Awareness|BAU|1x1|None|Sport|None|DCM,MX-5
P2|Mazda|UK|Programmatic|S4M|All|SUV|SUV|Consumer|Inmarket|Prospecting|GEO|Awareness|BAU|1x1|None|Sport|None|DCM,CX-3 & CX-5
P2|Mazda|UK|Display|Regit Cars|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|Keywords|Awareness|BAU|970x250|Test Drive|Standard Edition|45300574|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Standard Edition|45299897|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Standard Edition|45299897|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Standard Edition|45299897|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Standard Edition|45300529|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Learn More|Standard Edition|45300529|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Standard Edition|45300529|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Standard Edition|45300531|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Standard Edition|45300531|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Standard Edition|45300531|DCM,MX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Standard Edition|45297698|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Standard Edition|45297698|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Standard Edition|45297698|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Standard Edition|45298091|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Learn More|Standard Edition|45298091|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Standard Edition|45298091|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Standard Edition|45298098|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Standard Edition|45298098|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Standard Edition|45298098|DCM,Mazda 2
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Standard Edition|45301055|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Standard Edition|45301055|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Standard Edition|45301055|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Standard Edition|45301065|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Learn More|Standard Edition|45301065|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Standard Edition|45301065|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Standard Edition|45300574|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Standard Edition|45300574|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Standard Edition|45300574|DCM,Mazda 6
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Learn More|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Sport|45300581|DCM,CX-3 & CX-5
P2|Mazda|UK|Programmatic|Tradedesk_Haymarket|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Learn More|Sport|45300581|DCM,CX-3 & CX-5
